,Academic researcher,Data or business analyst,Data scientist or machine learning specialist,Database administrator,Designer,DevOps specialist,"Developer, QA or test","Developer, back-end","Developer, desktop or enterprise applications","Developer, embedded applications or devices","Developer, front-end","Developer, full-stack","Developer, game or graphics","Developer, mobile",Educator,"Engineer, data","Engineer, site reliability",Engineering manager,Marketing or sales professional,Product manager,Scientist,Senior executive/VP,Student,System administrator
Bash/Shell/PowerShell,44.281984334203656,41.07625181799294,47.122153209109726,46.783780213974374,35.51416497104398,64.98769908066814,47.0722433460076,41.590888215302655,40.53641517662451,49.32468935710427,34.83565379646907,39.04789299582914,40.162486753797246,30.6229153520238,42.537783375314866,51.01819757365684,67.33001658374793,51.127819548872175,36.04436229205176,40.88541666666667,50.42901716068643,48.47715736040609,38.923908149482216,60.262390670553934
C,31.64490861618799,14.502389362144195,22.111801242236027,17.223616431118742,19.799655658162465,16.988217014113687,20.399239543726235,16.32528091607728,22.067160924552987,49.52278047902035,13.607004449547869,13.651661153458939,28.717767573295657,19.34553321914721,22.481108312342567,21.79376083188908,19.94195688225539,19.969924812030076,14.78743068391867,17.740885416666664,32.17628705148206,19.923857868020303,30.5042773525439,22.084548104956266
C#,24.464751958224543,34.489923124870145,22.71221532091097,41.672170122837144,37.580215996243545,33.53619059950796,38.38403041825095,35.430635926640335,55.55313272277947,40.014406627048444,35.90258839289986,38.75737091902776,56.799717414341224,35.14829171549626,31.01385390428212,27.123050259965336,24.33665008291874,31.30827067669173,25.508317929759706,35.48177083333333,21.177847113884553,34.2005076142132,33.43088698784331,31.778425655976676
C++,38.19843342036553,17.224184500311658,29.751552795031056,19.66715097080967,23.070903114728438,17.570892140359966,23.098859315589355,19.788126511741833,30.156999563890103,50.56726094003241,16.654705516482466,16.205954264346325,45.672907099964675,22.12205895609844,25.094458438287155,25.10831889081456,19.36152570480929,22.015037593984964,16.45101663585952,21.419270833333336,41.22464898595944,23.03299492385787,33.92615938766321,22.186588921282798
Clojure,1.8798955613577024,1.4751714107625182,2.049689440993789,1.334037775723154,1.252152136484583,2.1105787906254045,1.4638783269961977,1.778880009797618,1.264718709114697,1.242571582928147,1.4879670829146932,1.797785128721415,1.6248675379724478,1.1088073559902643,1.920654911838791,2.3396880415944543,3.1923714759535655,2.6466165413533838,2.957486136783734,1.9856770833333333,1.87207488299532,3.489847715736041,1.2381809995497524,1.880466472303207
F#,1.1488250652741514,1.2674007895283608,1.2836438923395446,1.3604543653414343,1.0486774143058382,1.7998187232940568,1.6539923954372624,1.3930988028535563,2.0279110335804624,1.494687556275887,1.1195636572412804,1.3174169423270532,1.7661603673613566,1.1178220499414047,1.857682619647355,1.451473136915078,1.7412935323383085,2.1052631578947367,2.5878003696857674,1.4973958333333335,1.71606864274571,1.903553299492386,1.2156686177397569,1.064139941690962
Go,8.120104438642297,6.669436941616455,8.985507246376812,10.844010038304056,6.479887306307716,20.199404376537615,9.790874524714829,11.190716756988458,7.450210786451519,10.318746623446785,7.411128654131381,9.210412771465554,9.395973154362416,7.328946182277112,7.87153652392947,12.261698440207972,32.25538971807628,15.759398496240602,7.763401109057301,9.830729166666668,8.346333853354135,13.895939086294415,7.901846015308419,14.475218658892128
HTML/CSS,55.561357702349866,62.622065239975065,48.364389233954455,76.52886012415797,79.18297073094381,66.85225948465622,70.95057034220532,64.73163712072503,64.11542375345253,55.68161354222943,83.94813645280131,79.18596289371494,65.45390321441187,62.030109077796816,69.89924433249371,55.43760831889082,62.68656716417911,65.98496240601503,81.51571164510166,73.79557291666666,49.141965678627145,73.85786802030458,68.23502926609635,73.70262390670554
Java,39.76501305483029,32.619987533762725,35.010351966873706,36.269977545898826,36.81327281264674,40.5541887867409,44.18250950570342,42.45430329751079,42.41168774531182,41.31100306140824,35.73991675039472,39.29814468574716,40.83362769339456,54.43072207698548,42.82115869017632,41.052859618717505,39.67661691542288,38.13533834586466,27.171903881700555,35.25390625,32.605304212168484,35.659898477157356,50.74290859972985,37.21574344023323
JavaScript,56.31853785900783,62.99605235819655,51.262939958592135,79.60639281468762,80.7638128032556,74.40113945358021,74.77186311787072,73.00143902513702,68.62189271696467,60.41779218440483,89.37849863642889,87.07320581044154,71.7414341222183,69.4672315874876,72.38664987405542,60.52859618717504,70.43946932006634,74.04511278195488,80.22181146025879,77.734375,48.08892355694228,80.01269035532995,69.20306168392617,75.6268221574344
Objective-C,4.412532637075718,3.7814253064616663,3.5196687370600417,4.530445119535068,6.40162779777743,4.389485951055289,6.330798479087453,3.9312942040966288,5.785724669283327,8.824059067170898,5.133725659059375,4.231267078958723,12.469092193571177,20.88704588479221,5.698992443324937,3.8344887348353556,4.104477611940299,8.180451127819548,7.578558225508318,8.10546875,4.6801872074882995,10.469543147208121,4.277352543899145,4.431486880466473
Other(s),40.36553524804177,33.492624142946184,31.614906832298136,41.23629639413552,44.435748943496634,45.35802149423799,42.946768060836504,40.49171795107315,44.68672772205262,47.43381955699622,48.76321707095354,46.7107723284913,48.92264217590957,52.330298386369776,45.749370277078086,35.35528596187175,42.37147595356551,46.19548872180451,36.59889094269871,44.140625,38.53354134165367,47.84263959390863,43.60648356596128,40.481049562682216
PHP,25.06527415143603,25.47267816330771,16.41821946169772,42.60995905428609,39.035842854906875,28.033147740515346,32.60456273764258,29.068307767673986,22.663177787469106,25.46371330812174,34.605999712932395,31.53746584208255,31.508300953726597,29.523122689984678,33.31234256926952,22.46533795493934,29.270315091210612,24.992481203007518,49.53789279112754,36.36067708333333,19.07176287051482,34.70812182741117,32.26024313372355,42.87172011661808
Python,63.054830287206265,52.04654061915646,80.74534161490683,41.14383833047154,34.05853811238065,52.142949630972424,41.90114068441065,39.842625761611714,35.20133740369239,51.161534305780656,30.333476867135545,35.53286351215303,41.010243730130696,29.85666636617687,44.7103274559194,65.16464471403813,60.07462686567165,47.097744360902254,36.96857670979667,40.16927083333333,71.60686427457098,47.652284263959395,53.84961728950923,50.74344023323615
R,21.0443864229765,21.254934552254312,32.028985507246375,5.6267335886937,3.9755830333385505,4.376537614916484,3.935361216730038,3.827194513333946,3.5179531908707657,3.65568161354223,2.784555762882159,3.451747447145117,3.638290356764394,2.5060849184170197,10.579345088161208,14.558058925476603,4.767827529021559,5.443609022556391,9.057301293900185,5.46875,26.911076443057723,7.043147208121828,10.60333183250788,5.072886297376093
Ruby,6.710182767624021,5.879908580926657,6.645962732919254,9.206181481970678,8.217248395680075,14.903534895765894,10.874524714828897,9.736382841921557,5.545864224451228,6.861156131820638,8.975647098224965,10.614123399971236,8.018368067820559,8.482827008023078,10.610831234256928,9.207105719237434,20.563847429519072,15.127819548872182,12.56931608133087,10.64453125,6.513260530421217,14.911167512690355,7.339036470058533,12.59475218658892
Rust,4.595300261096606,1.7037190941200913,3.4989648033126293,3.024699511293092,2.0973548286116763,4.816781043635893,2.9847908745247147,3.407733994672545,3.2344817560691963,5.942733657482442,2.4639969379455526,2.87357974974831,6.358177322500882,2.3979085910033353,3.5894206549118386,3.856152512998267,6.0945273631840795,4.360902255639098,2.957486136783734,3.125,4.953198127925117,5.0761421319796955,4.389914452949122,4.2128279883381925
SQL,49.06005221932115,78.12175358404322,60.538302277432706,83.68775591071193,63.358898106119895,65.27256247572187,66.59695817490494,65.08680077156241,64.85681058293356,50.69331892670629,59.73398401990335,66.78268373364016,50.6534793359237,51.30262327593979,59.44584382871536,68.86915077989602,62.93532338308457,61.68421052631579,66.72828096118299,66.11328125,44.89079563182528,67.13197969543148,56.10085547050878,70.48104956268222
Scala,5.117493472584857,4.674838977768544,10.165631469979296,3.434156650376437,2.238221943966192,5.826751262462773,3.155893536121673,5.3366400293928535,3.067306294519552,2.629209436340717,2.2869719152193673,3.598446713648785,2.6139173436948075,2.352835121247634,4.596977329974812,13.604852686308492,7.338308457711443,6.436090225563909,3.3271719038817005,3.22265625,5.967238689547582,6.281725888324872,3.5119315623592975,3.2215743440233235
Swift,5.404699738903394,4.238520673176812,4.596273291925466,5.494650640602298,7.919862263264987,5.101644438689629,7.319391634980989,5.0151556902728025,6.1418810873673495,9.40032414910859,6.779579924405531,5.718394937437077,11.797951253973862,27.080140629225635,7.619647355163728,4.917677642980936,5.721393034825871,9.593984962406015,10.720887245841034,10.9375,5.265210608424336,12.246192893401016,7.001350742908599,5.670553935860059
Visual Basic / VBA,6.292428198433421,18.4708082277166,7.6604554865424435,11.29309206181482,9.312881515104085,4.467175967888126,8.365019011406844,5.1621199595848255,9.906963221398458,7.653520619484963,5.7222142481221,5.194879907953402,6.393500529848111,4.52537636347246,7.462216624685139,8.990467937608319,4.684908789386402,5.654135338345865,14.048059149722736,8.268229166666668,7.215288611544461,7.3604060913705585,5.695632597928861,9.139941690962099
